,correct_sentence,wrong_sentence
0,적용범위에서 본 지침서는 구조설계 강재 취재 및 관리에 대한 제반 사항에 대하여 적용한다,적용범위에서본지침서는구조설계강재취재및관리에대한제반사항에대하여적용한다
1,"목적에서 구조설계 강재 취재 및 관리, 설계기준 등을 상세하게 기술하여 구조설계 업무 흐름을 원활히 수행하도록 함에 있다","목적에서구조설계강재취재및관리,설계기준등을상세하게기술하여구조설계업무흐름을원활히수행하도록함에있다"
2,"책임 및 권한에서 구조설계 가공분과위원장은 본 지침서의 제정 및 개,폐에 대한 책임과 권한이 있다","책임및권한에서구조설계가공분과위원장은본지침서의제정및개,폐에대한책임과권한이있다"
3,일반사항에서. 본 지침서는  구조설계 강재 취재 및 관리의 기준이 된다.,일반사항에서.본지침서는구조설계강재취재및관리의기준이된다.
4,·본 지침서의 개선 사항이 있을 경우 가공분과 위원을 통해 제출하면 심의하며 개정 조치한다.,·본지침서의개선사항이있을경우가공분과위원을통해제출하면심의하며개정조치한다.
5,·부분 개정 사항은 지침서 “개정 내력”을 참고한다,·부분개정사항은지침서“개정내력”을참고한다
6,"용어 정의의 설계 용어에서. POR(Purchase Order Requisition, 구매의뢰요청) 는 구매 가능 규격으로 만들어진 강재BOM을 블록별 설계 담당자로부터 접수 받아 설계(강재계획파트)에서 구매조직(조달부)으로 발주를 요청하는 행위이다. ","용어정의의설계용어에서.POR(PurchaseOrderRequisition,구매의뢰요청)는구매가능규격으로만들어진강재BOM을블록별설계담당자로부터접수받아설계(강재계획파트)에서구매조직(조달부)으로발주를요청하는행위이다."
7,·PR(Purchase Requisition 는 구매 요청(POR과 동일한 의미) ,·PR(PurchaseRequisition는구매요청(POR과동일한의미)
8,"·PO(Purchase Order, 구매지시) 는 구매팀에서 설계로부터 POR을 접수 받아 VENDOR(MILL MAKER)에게 납품 ORDER를 하는 발주 행위이다.","·PO(PurchaseOrder,구매지시)는구매팀에서설계로부터POR을접수받아VENDOR(MILLMAKER)에게납품ORDER를하는발주행위이다."
9,"·POS(Purchase Oder Specification, 구매요청사양) 는 공사 Spec.과 Deviation을 반영한 구매사양서 작성 및 주문주 승인 요청 하는 행위이다.","·POS(PurchaseOderSpecification,구매요청사양)는공사Spec.과Deviation을반영한구매사양서작성및주문주승인요청하는행위이다."
10,"·MPS(Manufacturing Procedure Specification, 제조절차사양) 는 Mill에서 생산하는 제품의 제작기준 및 공정을 표기한 문서이다.","·MPS(ManufacturingProcedureSpecification,제조절차사양)는Mill에서생산하는제품의제작기준및공정을표기한문서이다."
11,"·절단BOM 는 절단도면에 배치된 강재와 부재 목록(BOM, BILL OF MATERIAL)을 의미한다.","·절단BOM는절단도면에배치된강재와부재목록(BOM,BILLOFMATERIAL)을의미한다."
12,·조립BOM 는 TREE 구조로 조립되는 ASSEMBLY별 부품 목록을 의미한다.,·조립BOM는TREE구조로조립되는ASSEMBLY별부품목록을의미한다.
13,·강재BOM 는 강재취재 후 구매 가능 규격으로  SIZE를 최적화시킨 강재소요목록표를 의미한다.,·강재BOM는강재취재후구매가능규격으로SIZE를최적화시킨강재소요목록표를의미한다.
14,·PML(Pallet Material List) 는 생산도면 출도 시 해당 BLOCK에 소요되는 원자재 목록을 의미한다. ,·PML(PalletMaterialList)는생산도면출도시해당BLOCK에소요되는원자재목록을의미한다.
15,"·PND(Production Need Date, 생산소요일자) 는 자재 납기일자를 의미하며 구조 강재의 PND는 절단착수일 2주 전이다.","·PND(ProductionNeedDate,생산소요일자)는자재납기일자를의미하며구조강재의PND는절단착수일2주전이다."
16,·LEAD TIME 는 자재 조달기간으로써 POR 발행일에서 생산소요일자(PND)까지를 의미한다.,·LEADTIME는자재조달기간으로써POR발행일에서생산소요일자(PND)까지를의미한다.
17,"·MTO(Material Take-Off, 강재 취재) 는 강재BOM 전송을 위한 사전 단계로써 구조도(상세도)를 보고 MODELING 또는 수기작업에 의해 소요될 강재를 추출하여 SIZE를 구매 가능 단위로 최적화(PRE-NESTING)하는 작업이다.","·MTO(MaterialTake-Off,강재취재)는강재BOM전송을위한사전단계로써구조도(상세도)를보고MODELING또는수기작업에의해소요될강재를추출하여SIZE를구매가능단위로최적화(PRE-NESTING)하는작업이다."
18,"·RFQ(Requisition For Quotation, 견적 요청) 는 구매가 용이하지 못한 특이강재의 조달을 위하여 POR 발행 전 VENDOR(MILL MAKER)에게 예량 물량 및 구매 SPEC.을 제공하여 SPEC. 불일치 문제를 사전에 해결하고, 또한 VENDODR의 생산 ROOM을 사전에 확보함으로써 LEAD TIME을 단축하고 자재 조달이 원활하게 이루어질 수 있도록 하는 행위이다.","·RFQ(RequisitionForQuotation,견적요청)는구매가용이하지못한특이강재의조달을위하여POR발행전VENDOR(MILLMAKER)에게예량물량및구매SPEC.을제공하여SPEC.불일치문제를사전에해결하고,또한VENDODR의생산ROOM을사전에확보함으로써LEADTIME을단축하고자재조달이원활하게이루어질수있도록하는행위이다."
19,·CCI 는 Class Comment Item,·CCI는ClassCommentItem
20,·CRI 는 Client Request Item,·CRI는ClientRequestItem
21,·ITP 는 Inspection Test Plan,·ITP는InspectionTestPlan
22,·QCP 는 Quality Control Procedure,·QCP는QualityControlProcedure
23,"용어 정의의 강재 용어 에서. MILL 는 강재를 생산하는 제철소(포스코, 현대제철) 또는 제강소(동국제강)를 의미한다.","용어정의의강재용어에서.MILL는강재를생산하는제철소(포스코,현대제철)또는제강소(동국제강)를의미한다."
24,·일반강 는 열처리 없이 압연상태(AS-ROLLED)로 생산되는 두께 12mm 이상 50mm 이하의 강판을 의미한다.,·일반강는열처리없이압연상태(AS-ROLLED)로생산되는두께12mm이상50mm이하의강판을의미한다.
25,·박판재 는 두께 6mm 이상 9mm 미만의 강판,·박판재는두께6mm이상9mm미만의강판
26,·중박재 는 두께 9mm 이상 12mm 미만의 강판,·중박재는두께9mm이상12mm미만의강판
27,·후물재 는 두께 50mm 초과 ~ 80mm 이하의 강판(포스코 기준),·후물재는두께50mm초과~80mm이하의강판(포스코기준)
28,·극후물재 는 두께 80mm 초과의 강판(포스코 기준),·극후물재는두께80mm초과의강판(포스코기준)
29,"·부하재 는 MILL의 생산성이 현저히 저하되는 강재로서, 열처리강, 저온용강, 박판재, 후물재를 총칭한다.","·부하재는MILL의생산성이현저히저하되는강재로서,열처리강,저온용강,박판재,후물재를총칭한다."
30,·당용재 는 호선용으로 사용계획이 있는 자재,·당용재는호선용으로사용계획이있는자재
31,·잉여재 는 진행중인 호선에 사용계획이 없는 자재(A999XXXXX),·잉여재는진행중인호선에사용계획이없는자재(A999XXXXX)
32,·열처리재 는 NORMALIZED(N) 또는 QUENCHED and TEMPERED(Q&T) 방식으로 열처리를 수행하는 강판,·열처리재는NORMALIZED(N)또는QUENCHEDandTEMPERED(Q&T)방식으로열처리를수행하는강판
33,"·저온강 는 충격시험을 -60℃ 이하에서 수행하는 재질의 강재(ex. L, LH, LA, LHA)로서, 주로 가스운반선에 사용된다.","·저온강는충격시험을-60℃이하에서수행하는재질의강재(ex.L,LH,LA,LHA)로서,주로가스운반선에사용된다."
34,·단중 는 강판 1 Sheet 당 중량(형강 는 1본 당 중량),·단중는강판1Sheet당중량(형강는1본당중량)
35,·TMCP재 는 Thermo-Mechanically Controlled Processing(TM) 방식으로 열처리를 수행하는 강판,·TMCP재는Thermo-MechanicallyControlledProcessing(TM)방식으로열처리를수행하는강판
36,"·SHAPE 는 Section과 유사한 용어로써, 형강재를 총칭하며 주로 해양공사에서 통용되는 용어이다.","·SHAPE는Section과유사한용어로써,형강재를총칭하며주로해양공사에서통용되는용어이다."
37,·SMLS PIPE(Seamless) 는 용접Seam이 없는 PIPE,·SMLSPIPE(Seamless)는용접Seam이없는PIPE
38,·ERW PIPE (Electric Resistant Welding) 는 전기저항용접으로 제작된 PIPE,·ERWPIPE(ElectricResistantWelding)는전기저항용접으로제작된PIPE
39,·SAW PIPE (Submerged Arc Welding) 는 잠호용접으로 제작된 PIPE,·SAWPIPE(SubmergedArcWelding)는잠호용접으로제작된PIPE
40,·MOQ (Minimum Order Quantity) 는 최소 구매 발주 물량,·MOQ(MinimumOrderQuantity)는최소구매발주물량
41,·WPS (Welding Procedure Specification) 는 용접 절차 사양,·WPS(WeldingProcedureSpecification)는용접절차사양
42,·WPQT (Welding Procedure Qualification Test) 는 용접 절차 인증 시험,·WPQT(WeldingProcedureQualificationTest)는용접절차인증시험
43,"·PWHT (Post Weld Heat Treatment, 후열처리재), 용접 후 열처리 보증재","·PWHT(PostWeldHeatTreatment,후열처리재),용접후열처리보증재"
44,·GSI (General Stock Item) 는 전사 재고 자재 (0500),·GSI(GeneralStockItem)는전사재고자재(0500)
45,·ASI (Allocated Stock Item) 는 특정 프로젝트 재고 자재 (0400),·ASI(AllocatedStockItem)는특정프로젝트재고자재(0400)
46,"·CTOD (Crack Tip Opening Displacement) Test 는 미세 균열이 반복하중(진동, 공명, 파동)에 의해 Crack이 진전되어 구조를 파괴하게 되므로 이에 대한 파괴인성(Fracture Toughness)을 검증하는 Test 이다.","·CTOD(CrackTipOpeningDisplacement)Test는미세균열이반복하중(진동,공명,파동)에의해Crack이진전되어구조를파괴하게되므로이에대한파괴인성(FractureToughness)을검증하는Test이다."
47,·BCA (Brittle Crack Arrest) 는 취성파괴(Brittle Fracture)시 균열 전파를 정지하는 강재,·BCA(BrittleCrackArrest)는취성파괴(BrittleFracture)시균열전파를정지하는강재
48,·Z-Quality 는 강재 두께 방향으로 단면 수축율을 평가하기 위한 시험,·Z-Quality는강재두께방향으로단면수축율을평가하기위한시험
49,용어 정의의 국제 규격 용어에서. KS (Korea Standard) 는 한국공업규격,용어정의의국제규격용어에서.KS(KoreaStandard)는한국공업규격
50,·JIS (Japan Industry Standard) 는 일본공업규격,·JIS(JapanIndustryStandard)는일본공업규격
51,"·ASTM (American Society for Testing and Material, USA) 는 미국 재료시험 협회","·ASTM(AmericanSocietyforTestingandMaterial,USA)는미국재료시험협회"
52,·API (American Petroleum Institute) 는 미국 석유 협회,·API(AmericanPetroleumInstitute)는미국석유협회
53,"·AWS (American Welding Society, USA) 는 미국 용접 협회","·AWS(AmericanWeldingSociety,USA)는미국용접협회"
54,·EN(Euro Norm) 는 Europe 공업 규격 표준,·EN(EuroNorm)는Europe공업규격표준
55,"·AISC (American Institute of Steel Construction, USA) 는 미국 철구조물 협회","·AISC(AmericanInstituteofSteelConstruction,USA)는미국철구조물협회"
56,"·AISI (American Iron and Steel Institute, USA) 는 미국 철강 협회","·AISI(AmericanIronandSteelInstitute,USA)는미국철강협회"
57,·NORSOK (NORSOK Standard) 는 노르웨이 표준해양규정,·NORSOK(NORSOKStandard)는노르웨이표준해양규정
58,·IACS(International Association of Classification Societies) 는 국제선급연합회,·IACS(InternationalAssociationofClassificationSocieties)는국제선급연합회
59,·ISO(International Organization for Standardization) 는 국제표준화기구,·ISO(InternationalOrganizationforStandardization)는국제표준화기구
60,·CSR (Common Structural Rules for Carrier and Oil Carrier) 는 산적화물선 및 유조선 공통구조규칙,·CSR(CommonStructuralRulesforCarrierandOilCarrier)는산적화물선및유조선공통구조규칙
61,용어 정의의 강재 전산 용어에서. WBS (Work Breakdown Structure) 는 작업 분할 구조도 (블록 작업 단위),용어정의의강재전산용어에서.WBS(WorkBreakdownStructure)는작업분할구조도(블록작업단위)
62,HiBS-ONE 는 Hull Information Bank System-Open Network Environment의 약자로써 구조설계 생산도면 및 설계 관련업무를 효율적으로 수행하기 위해 개발된 프로그램이다.,HiBS-ONE는HullInformationBankSystem-OpenNetworkEnvironment의약자로써구조설계생산도면및설계관련업무를효율적으로수행하기위해개발된프로그램이다.
63,강재 일반개요의 강재 업무 SCOPE에서 구조설계에서 수행하는 조직별 강재업무는 아래와 같다.,강재일반개요의강재업무SCOPE에서구조설계에서수행하는조직별강재업무는아래와같다.
64,강재 일반개요의 강재 업무 SCOPE에서,강재일반개요의강재업무SCOPE에서
65,조직 는 기본설계 상세설계  구분 는 Spec. 상세업무 는 계약 Spec. Clear 이다. ,조직는기본설계상세설계구분는Spec.상세업무는계약Spec.Clear이다.
66,조직 는 기본설계 상세설계  구분 는 Spec. 상세업무 는 Material Selection 이다. ,조직는기본설계상세설계구분는Spec.상세업무는MaterialSelection이다.
67,조직 는 기본설계 상세설계  구분 는 Spec. 상세업무 는 특이재 예량물량 산출 이다. ,조직는기본설계상세설계구분는Spec.상세업무는특이재예량물량산출이다.
68,"조직 는 기본설계 상세설계  구분 는 Spec. 비고 는 예) BCA강, CTOD강 이다. ","조직는기본설계상세설계구분는Spec.비고는예)BCA강,CTOD강이다."
69,조직 는 생산설계 구분 는 BOM 상세업무 는 강재 Nesting(강재 취재) 이다. ,조직는생산설계구분는BOM상세업무는강재Nesting(강재취재)이다.
70,조직 는 생산설계 구분 는 BOM 상세업무 는 강재 BOM 전송 이다. ,조직는생산설계구분는BOM상세업무는강재BOM전송이다.
71,조직 는 생산설계 구분 는 BOM 상세업무 는 강재신청서 작성 이다. ,조직는생산설계구분는BOM상세업무는강재신청서작성이다.
72,조직 는 생산설계 구분 는 BOM 상세업무 는 호선 수율 집계 이다. ,조직는생산설계구분는BOM상세업무는호선수율집계이다.
73,조직 는 생산설계 구분 는 도면 상세업무 는 잔재 등록/예약 이다. ,조직는생산설계구분는도면상세업무는잔재등록/예약이다.
74,조직 는 생산설계 구분 는 도면 상세업무 는 가공 BOM 전송 이다. ,조직는생산설계구분는도면상세업무는가공BOM전송이다.
75,조직 는 강재파트 구분 는 POS 상세업무 는 Material Spec. Deviation 승인 이다. ,조직는강재파트구분는POS상세업무는MaterialSpec.Deviation승인이다.
76,조직 는 강재파트 구분 는 POS 상세업무 는 Steel Grade & Section Size 추천 이다. ,조직는강재파트구분는POS상세업무는SteelGrade&SectionSize추천이다.
77,조직 는 강재파트 구분 는 POS 상세업무 는 POS 승인 이다. ,조직는강재파트구분는POS상세업무는POS승인이다.
78,조직 는 강재파트 구분 는 POS 상세업무 는 MPS 승인 이다. ,조직는강재파트구분는POS상세업무는MPS승인이다.
79,조직 는 강재파트 구분 는 POS 상세업무 는 ITP/QCP 검토 이다. ,조직는강재파트구분는POS상세업무는ITP/QCP검토이다.
80,조직 는 강재파트 구분 는 POS 비고 는 주관는 QM 이다. ,조직는강재파트구분는POS비고는주관는QM이다.
81,조직 는 강재파트 구분 는 POS 상세업무 는 제철소 Technical Meeting 이다. ,조직는강재파트구분는POS상세업무는제철소TechnicalMeeting이다.
82,조직 는 강재파트 구분 는 POR 상세업무 는 POR 발행 이다. ,조직는강재파트구분는POR상세업무는POR발행이다.
83,조직 는 강재파트 구분 는 POR 상세업무 는 강재신청서 이다. ,조직는강재파트구분는POR상세업무는강재신청서이다.
84,조직 는 강재파트 구분 는 POR 상세업무 는 잉여재/결품 대체 이다. ,조직는강재파트구분는POR상세업무는잉여재/결품대체이다.
85,조직 는 강재파트 구분 는 POR 상세업무 는 0400 발주/입고/재고관리 이다. ,조직는강재파트구분는POR상세업무는0400발주/입고/재고관리이다.
86,조직 는 강재파트 구분 는 POR 상세업무 는 Surplus 물량 유지관리 이다. ,조직는강재파트구분는POR상세업무는Surplus물량유지관리이다.
87,조직 는 강재파트 구분 는 POR 상세업무 는 유.무상 사급/자재비 정산요청 이다. ,조직는강재파트구분는POR상세업무는유.무상사급/자재비정산요청이다.
88,조직 는 강재파트 구분 는 POR 비고 는 생산 절단/조립 오류 시 이다. ,조직는강재파트구분는POR비고는생산절단/조립오류시이다.
89,조직 는 강재파트 구분 는 POR 상세업무 는 비수익공사 자재 조치 이다. ,조직는강재파트구분는POR상세업무는비수익공사자재조치이다.
90,조직 는 강재파트 구분 는 POR 비고 는 치구/러그류 이다. ,조직는강재파트구분는POR비고는치구/러그류이다.
91,조직 는 강재파트 구분 는 강재관리 상세업무 는 강재 수급계획 이다. ,조직는강재파트구분는강재관리상세업무는강재수급계획이다.
92,조직 는 강재파트 구분 는 강재관리 상세업무 는 잉여재 관리 이다. ,조직는강재파트구분는강재관리상세업무는잉여재관리이다.
93,조직 는 강재파트 구분 는 강재관리 상세업무 는 장기재고 품질보존  이다. ,조직는강재파트구분는강재관리상세업무는장기재고품질보존이다.
94,조직 는 강재파트 구분 는 강재관리 비고 는 선전처리 이다. ,조직는강재파트구분는강재관리비고는선전처리이다.
95,조직 는 강재파트 구분 는 강재관리 상세업무 는 불용재 판단 의사결정 품의 이다. ,조직는강재파트구분는강재관리상세업무는불용재판단의사결정품의이다.
96,조직 는 강재파트 구분 는 강재관리 상세업무 는 매각의뢰 및 실사 이다. ,조직는강재파트구분는강재관리상세업무는매각의뢰및실사이다.
97,조직 는 강재파트 구분 는 강재관리 상세업무 는 비철재 전산재고 일치화 관리 이다. ,조직는강재파트구분는강재관리상세업무는비철재전산재고일치화관리이다.
98,조직 는 강재파트 구분 는 강재관리 상세업무 는 강관재 재고 WBS 관리 이다. ,조직는강재파트구분는강재관리상세업무는강관재재고WBS관리이다.
99,조직 는 강재파트 구분 는 강재관리 상세업무 는 적치장 재고현황 이다. ,조직는강재파트구분는강재관리상세업무는적치장재고현황이다.
100,조직 는 강재파트 구분 는 잔재관리 상세업무 는 잔재관리 기준 정립 이다. ,조직는강재파트구분는잔재관리상세업무는잔재관리기준정립이다.
101,조직 는 강재파트 구분 는 잔재관리 상세업무 는 사내/사외 발생잔재 적치관리 이다. ,조직는강재파트구분는잔재관리상세업무는사내/사외발생잔재적치관리이다.
102,조직 는 강재파트 구분 는 잔재관리 상세업무 는 불용잔재 매각 이다. ,조직는강재파트구분는잔재관리상세업무는불용잔재매각이다.
103,조직 는 강재파트 구분 는 잔재관리 상세업무 는 DSSC 공통부재 조치 이다. ,조직는강재파트구분는잔재관리상세업무는DSSC공통부재조치이다.
104,조직 는 강재파트 구분 는 설계목표 물량관리  상세업무 는 견적물량 검토 이다. ,조직는강재파트구분는설계목표물량관리상세업무는견적물량검토이다.
105,조직 는 강재파트 구분 는 설계목표 물량관리  상세업무 는 기준물량 확정 이다. ,조직는강재파트구분는설계목표물량관리상세업무는기준물량확정이다.
106,조직 는 강재파트 구분 는 설계목표 물량관리  비고 는 수주 후 3개월 이내 이다. ,조직는강재파트구분는설계목표물량관리비고는수주후3개월이내이다.
107,조직 는 강재파트 구분 는 설계목표 물량관리  상세업무 는 분기 목표물량 확인 이다. ,조직는강재파트구분는설계목표물량관리상세업무는분기목표물량확인이다.
108,조직 는 강재파트 구분 는 설계목표 물량관리  비고 는 목표물량 통제관리 이다. ,조직는강재파트구분는설계목표물량관리비고는목표물량통제관리이다.
109,조직 는 강재파트 구분 는 설계목표 물량관리  상세업무 는 인도호선 실적분석 이다. ,조직는강재파트구분는설계목표물량관리상세업무는인도호선실적분석이다.
110,조직 는 강재파트 구분 는 설계목표 물량관리  비고 는 기준/실적 차이 분석 이다. ,조직는강재파트구분는설계목표물량관리비고는기준/실적차이분석이다.
111,조직 는 강재파트 구분 는 (담당MOU) 강재관리지표  상세업무 는 월별 수율 이다. ,조직는강재파트구분는(담당MOU)강재관리지표상세업무는월별수율이다.
112,조직 는 강재파트 구분 는 (담당MOU) 강재관리지표  비고 는 집계 기준정립 이다. ,조직는강재파트구분는(담당MOU)강재관리지표비고는집계기준정립이다.
113,조직 는 강재파트 구분 는 (담당MOU) 강재관리지표  상세업무 는 잔재 사용량/발생량  이다. ,조직는강재파트구분는(담당MOU)강재관리지표상세업무는잔재사용량/발생량이다.
114,조직 는 강재파트 구분 는 (담당MOU) 강재관리지표  상세업무 는 잉여재 사용량/발생량 이다. ,조직는강재파트구분는(담당MOU)강재관리지표상세업무는잉여재사용량/발생량이다.
115,강재 일반개요의 설계 강재 일정별 업무현황에서 설계 강재 일정별 업무현황은 아래와 같다.,강재일반개요의설계강재일정별업무현황에서설계강재일정별업무현황은아래와같다.
116,강재 일반개요의 강재 LEAD TIME에서 강재를 수급하기 위해서는 아래의 표와 같이 LEAD TIME(자재 조달 기간) 필요하다,강재일반개요의강재LEADTIME에서강재를수급하기위해서는아래의표와같이LEADTIME(자재조달기간)필요하다
117,강재 일반개요의 강재 LEAD TIME에서,강재일반개요의강재LEADTIME에서
118,종류 는 표준 공급처 는 - 이다. ,종류는표준공급처는-이다.
119,"종류 는 표준 ""LEAD TIME 는 90 이다. ","종류는표준""LEADTIME는90이다."
120,종류 는 표준 비고 는 긴급재 별도 협의 이다. ,종류는표준비고는긴급재별도협의이다.
121,종류 는 강판 극박재(t<6) 공급처 는 국내 이다. ,종류는강판극박재(t<6)공급처는국내이다.
122,"종류 는 강판 극박재(t<6) ""LEAD TIME 는 120 이다. ","종류는강판극박재(t<6)""LEADTIME는120이다."
123,종류 는 강판 BCA강 공급처 는 국내 이다. ,종류는강판BCA강공급처는국내이다.
