,correct_sentence,wrong_sentence
0,높은 달이 떴다.,높은달이떴다.
1,달이 뜸이 높았다.,달이뜸이높았다.
2,실없는 사람이 까불까불한다.,실없는사람이까불까불한다.
3,나는 철수에게 공을 던졌다.,나는철수에게공을던졌다.
4,내가 순이와 둘이서 다툰다.,내가순이와둘이서다툰다.
5,내가 순이와 우리가 다툰다.,내가순이와우리가다툰다.
6,나는 부지런히 뛰었다.,나는부지런히뛰었다.
7,나는 부지런히 뛰어졌다.,나는부지런히뛰어졌다.
8,사랑이 죄는 아니다.,사랑이죄는아니다.
9,죄는 사랑이 아니다.,죄는사랑이아니다.
10,철수는 영미를 가면적으로 미워하였다.,철수는영미를가면적으로미워하였다.
11,철수에게는 영미가 가면적으로 미웠다.,철수에게는영미가가면적으로미웠다.
12,그가 그녀에게 감기를 옮겼다.,그가그녀에게감기를옮겼다.
13,그녀가 그에 의해서 감기를 옮겨졌다.,그녀가그에의해서감기를옮겨졌다.
14,어린이가 많이 살았다.,어린이가많이살았다.
15,어린이가 살음이 많았다.,어린이가살음이많았다.
16,영희가 나에게 좋다.,영희가나에게좋다.
17,영희가 나에게 좋아를 한다.,영희가나에게좋아를한다.
18,고양이가 꽃밭을 파헤쳐 놓았다.,고양이가꽃밭을파헤쳐놓았다.
19,고양이가 꽃밭을 파헤쳐 두었다.,고양이가꽃밭을파헤쳐두었다.
20,영수가 밥을 먹고 나서 철수가 밥을 먹겠다.,영수가밥을먹고나서철수가밥을먹겠다.
21,영수가 밥을 먹었고서 철수가 밥을 먹겠다.,영수가밥을먹었고서철수가밥을먹겠다.
22,우리는 열심히 공부해야 한다.,우리는열심히공부해야한다.
23,우리는 열심히 공부해야 하자.,우리는열심히공부해야하자.
24,"나는 ""이젠 살았구나""하고 굴 밖으로 나왔다.","나는""이젠살았구나""하고굴밖으로나왔다."
25,"나는 ""이젠 살았구나""라고 굴 밖으로 나왔다.","나는""이젠살았구나""라고굴밖으로나왔다."
26,영호가 더워한다.,영호가더워한다.
27,방이 더워한다.,방이더워한다.
28,철수는 뱀이 징그럽다고 말했다.,철수는뱀이징그럽다고말했다.
29,철수가 나는 뱀이 징그럽다고 말했다.,철수가나는뱀이징그럽다고말했다.
30,체온이 싸늘하니 식어 있다.,체온이싸늘하니식어있다.
31,체온이 식음이 싸늘했다.,체온이식음이싸늘했다.
32,나는 그 말이 모순이 된다고 생각한다.,나는그말이모순이된다고생각한다.
33,나는 모순을 그 말이 된다고 생각한다.,나는모순을그말이된다고생각한다.
34,복희가 결혼했다고 소문이 떠돈다.,복희가결혼했다고소문이떠돈다.
35,복희가 결혼했다고 소문이 있다.,복희가결혼했다고소문이있다.
36,이웃을 미워하지 말자.,이웃을미워하지말자.
